0.009750 0.000975
0.009540 0.000954
0.009570 0.000957
0.009960 0.000996
0.010270 0.001027
0.010510 0.001051
0.010790 0.001079
0.010770 0.001077
0.010850 0.001085
0.010700 0.001070
0.010760 0.001076
0.009950 0.000995
0.012760 0.001276
0.012810 0.001281
0.012730 0.001273
0.012450 0.001245
0.012120 0.001212
0.011840 0.001184
0.011760 0.001176
0.011570 0.001157
0.011680 0.001168
0.011800 0.001180
0.012080 0.001208
0.012800 0.001280
0.013320 0.001332
0.013310 0.001331
0.013040 0.001304
0.012790 0.001279
0.012770 0.001277
0.013020 0.001302
0.013280 0.001328
0.013760 0.001376
0.013710 0.001371
0.014060 0.001406
0.014030 0.001403
0.014020 0.001402
0.013320 0.001332
0.013110 0.001311
0.012780 0.001278
0.012600 0.001260
0.012370 0.001237
0.012880 0.001288
0.012960 0.001296
0.013220 0.001322
0.013640 0.001364
0.013480 0.001348
0.013290 0.001329
0.013490 0.001349
0.013440 0.001344
0.013110 0.001311
0.013970 0.001397
0.014280 0.001428
0.014670 0.001467
0.015110 0.001511
0.015080 0.001508
0.015200 0.001520
0.015120 0.001512
0.015000 0.001500
0.014270 0.001427
0.013970 0.001397
0.013730 0.001373
0.014440 0.001444
0.015280 0.001528
0.014940 0.001494
0.015200 0.001520
0.014830 0.001483
0.014760 0.001476
0.014450 0.001445
0.014180 0.001418
0.013900 0.001390
0.013980 0.001398
0.014120 0.001412
0.014450 0.001445
0.014440 0.001444
0.015100 0.001510
0.015910 0.001591
0.015890 0.001589
0.015900 0.001590
0.015640 0.001564
0.015290 0.001529
0.014870 0.001487
0.014580 0.001458
0.014790 0.001479
0.014600 0.001460
0.014970 0.001497
0.015420 0.001542
0.015100 0.001510
